"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-02-22 00:00:00","405.000","213.000","0.400","12.300","1.000","980.800","","0.000","-99.000","-99.000","-99.000","21.800","","12.300",""
"C0C680","2020-02-22 00:00:00","228.000","0.000","0.000","15.600","0.910","998.100","","0.000","-99.000","-99.000","-99.000","23.000","","14.700",""
"C0T9A0","2020-02-22 00:00:00","498.000","234.000","0.700","15.800","0.840","969.900","","0.000","-99.000","-99.000","-99.000","20.600","","14.300",""
"C0AH40","2020-02-22 00:00:00","426.000","359.000","1.400","15.100","0.990","975.900","","0.000","-99.000","-99.000","-99.000","21.600","","15.100",""
"C0X280","2020-02-22 00:00:00","22.000","52.000","1.200","16.200","0.940","1023.900","","0.000","-99.000","-99.000","-99.000","20.800","","15.400",""
"C0V620","2020-02-22 00:00:00","18.000","37.000","1.800","17.400","0.910","1024.000","","0.000","-99.000","-99.000","-99.000","22.800","","15.500",""
"C0H960","2020-02-22 00:00:00","120.000","32.000","1.000","16.600","1.000","1011.000","","0.000","-99.000","-99.000","-99.000","24.000","","14.400",""
"C0M530","2020-02-22 00:00:00","1385.000","60.000","0.600","9.900","0.720","878.300","","0.000","-99.000","-99.000","-99.000","17.300","","8.200",""
"C0R170","2020-02-22 00:00:00","26.000","43.000","0.300","18.000","1.000","1023.200","","0.000","-99.000","-99.000","-99.000","27.100","","14.900",""
"C0I420","2020-02-22 00:00:00","305.000","0.000","0.000","14.700","0.930","991.200","","0.000","-99.000","-99.000","-99.000","23.800","","12.800",""
"C0A640","2020-02-22 00:00:00","241.000","0.000","0.000","15.000","0.950","1000.600","","0.000","-99.000","-99.000","-99.000","23.800","","15.000",""
"C0A930","2020-02-22 00:00:00","216.000","0.000","0.200","13.900","0.990","999.700","","0.500","-99.000","-99.000","-99.000","24.200","","13.900",""
"C0F9M0","2020-02-22 00:00:00","230.000","124.000","0.300","15.800","1.000","999.500","","0.000","-99.000","-99.000","-99.000","19.600","","14.800",""
"C0AC40","2020-02-22 00:00:00","1079.000","135.000","1.700","12.900","0.990","904.000","","0.000","-99.000","-99.000","-99.000","15.900","","10.200",""
"C0AI00","2020-02-22 00:00:00","188.000","0.000","0.000","15.600","0.960","1005.400","","0.000","-99.000","-99.000","-99.000","27.500","","15.600",""
"C0T9M0","2020-02-22 00:00:00","92.000","306.000","2.200","18.700","0.830","1018.000","","0.500","-99.000","-99.000","-99.000","25.100","","16.500",""
"C0S960","2020-02-22 00:00:00","32.000","301.000","3.600","20.100","0.740","1022.700","","0.000","-99.000","-99.000","-99.000","24.300","","18.900",""
"C0K430","2020-02-22 00:00:00","30.000","351.000","1.200","15.400","1.000","1023.800","","0.000","-99.000","-99.000","-99.000","20.800","","14.300",""
"C0Z170","2020-02-22 00:00:00","199.000","262.000","0.500","17.000","0.900","1005.900","","0.000","-99.000","-99.000","-99.000","24.300","","14.200",""
"C0Z100","2020-02-22 00:00:00","36.000","0.000","0.000","14.400","0.980","1024.400","","0.000","-99.000","-99.000","-99.000","24.400","","14.400",""
"C0U710","2020-02-22 00:00:00","1942.000","0.000","0.000","7.100","0.950","817.000","","0.500","-99.000","-99.000","-99.000","14.400","","5.500",""
"C0SA30","2020-02-22 00:00:00","92.000","279.000","1.400","20.300","0.810","1017.300","","0.000","-99.000","-99.000","-99.000","23.600","","17.800",""
"C0V500","2020-02-22 00:00:00","6.000","28.000","1.400","19.400","0.870","1023.600","","0.000","-99.000","-99.000","-99.000","24.400","","18.500",""
"CM0160","2020-02-22 00:00:00","159.000","0.000","0.100","15.000","0.980","1009.100","","0.000","-99.000","-99.000","-99.000","25.600","","13.000",""
